1  - Opportunity for Classroom Training                                                                              2  - Opportunity for DOJT/Field Training                                                                                            3  - Trained/Opportunity for field experience                                                                                         4  - Proficient                                                                                                               5  - Expert/Able to Train,Boro,Aerial lift Use,Electrical Troubleshooting,Gas Calls (any equipment),Electrical Conduit /Wiring Installation,Swagelok tubing,Vacuum pump repair,Forklift operator,Confined Space Entry,Confined Space Supervisor,Welder,Fire Watch,Rigging,Cadwelds,Compressor PM / CM,Troubleshoot DC Grounds,SF6 gas cart use,Hotspots Inspections,Overheard Crane Training,CS PM / CM,LTC PM / CM,AGS PM / CM,Mechanical Deluge Repair,Tapguard 260/TM 100 troubleshooting,Transformer Fan replacement,Transformer Pump replacement,Sesco oil processing truck operator,Sesco oil processing truck repair,Transformer Vacuum pump operator,Transformer Replacement,Transformer Bushing Replacement,Circuit Switcher Replacement,Kelman installation,AC High Voltage Test Set PM / CM,DC High Voltage Test Set PM / CM,Low Voltage Test Set CM,PURs Pump/Motor Replacement,PURs Pump VFD Replacement,PURs/CP Pump/Motor Alignment,Pump House Ladder Calibration,Pump House PLC troubleshooting & Repairs,Diesel Generator PM / CM,Working in a PURs facility w/ out an operator,Pump House Pump Replacement ,Distribution Breaker PM,Distribution Breaker CM,Transmission Breaker CM,Transmission Breaker PM,Barksdale PM / CM,Battery Corrective Maintenance,Battery PM,Repair high voltage test leads/portable grounds,Installing / troubleshooting RMS coils,Capbank Repairs,Disconnect and Ground Switch Adj/Repairs,Kemper Roof Installations,HVAC Maintenance,Asbestos abatement
Worker_15,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,5,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_16,Q/B,4,4,4,1,4,2,1,1,1,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_17,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_18,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_19,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_20,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_21,Q/B,4,4,4,1,4,2,1,1,1,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_22,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_23,S,4,5,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_24,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_25,Q,4,4,4,1,4,2,1,1,1,4,2,4,3,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_26,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_27,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_28,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_29,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_30,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_31,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_32,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Worker_33,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_34,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_35,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_36,S,4,5,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_37,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_38,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_39,S,4,4,4,4,4,2,4,1,1,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_40,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_41,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,1,1,1
Worker_42,Q,4,4,4,1,4,2,4,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_43,B,4,4,4,1,4,2,4,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_44,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,,,1
Worker_45,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Worker_46,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_47,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_48,Q,4,5,4,1,4,2,1,1,1,1,2,4,3,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_49,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_50,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_51,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_52,S,4,4,4,4,4,2,4,1,1,1,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
