,S,Q/B,W/Br,M
11,"[2.0, 3.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","[0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0]","[3.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0, 2.0, 3.0, 3.0, 4.0, 1.0, 3.0, 2.0, 4.0, 1.0, 3.0, 4.0, 3.0, 4.0, 2.0, 2.0, 4.0, 3.0, 2.0, 1.0, 3.0, 1.0, 3.0, 4.0, 3.0, 3.0, 1.0, 2.0, 3.0, 3.0, 4.0, 1.0, 1.0, 2.0, 1.0, 3.0, 4.0, 5.0, 2.0, 3.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 3.0, 4.0, 3.0]","[3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 3.0, 1.0, 4.0, 2.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0, 1.0, 3.0]"
13,"[3.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0]","[0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0, 4.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 4.0]","[3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0]"
14,"[1.0, 4.0, 1.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]","[0, 1.0, 5.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 2.0, 3.0, 1.0, 1.0, 4.0, 2.0, 2.0, 1.0, 2.0, 4.0, 2.0, 5.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 2.0, 1.0, 5.0, 5.0, 2.0, 1.0, 3.0, 4.0, 2.0, 3.0, 3.0]","[3.0, 1.0, 1.0, 3.0, 3.0, 4.0, 3.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 3.0, 1.0, 3.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
15,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 2.0, 4.0]","[1.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 2.0, 2.0, 1.0, 5.0, 1.0, 2.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 2.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 5.0, 4.0, 2.0, 4.0, 4.0]","[0, 2.0, 3.0, 1.0, 4.0, 3.0, 2.0, 2.0, 3.0, 4.0, 4.0, 2.0, 3.0, 2.0, 1.0, 2.0, 5.0, 2.0, 1.0, 1.0, 2.0, 5.0, 2.0, 5.0, 2.0, 3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 2.0, 5.0, 5.0, 3.0, 2.0, 3.0, 3.0, 1.0, 5.0, 2.0, 2.0, 1.0, 2.0, 4.0, 1.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 2.0, 3.0, 1.0, 4.0, 1.0, 3.0, 2.0, 4.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 4.0, 3.0, 5.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 2.0, 3.0, 4.0, 3.0, 3.0, 1.0, 4.0, 3.0]"
16,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 3.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 1.0, 4.0, 1.0, 3.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 4.0, 3.0, 2.0, 4.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 2.0, 1.0, 5.0, 3.0, 1.0, 1.0, 2.0, 5.0, 2.0, 5.0, 2.0, 4.0, 1.0, 1.0, 3.0, 3.0, 3.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 4.0, 3.0, 4.0, 4.0, 1.0, 5.0, 4.0, 3.0, 1.0, 3.0, 4.0, 3.0, 3.0, 1.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 5.0, 4.0, 1.0, 2.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0]"
17,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0]","[0, 2.0, 1.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 5.0, 2.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 3.0, 1.0, 4.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 2.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 5.0, 1.0, 1.0, 4.0, 1.0, 1.0, 3.0, 5.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 2.0, 4.0, 2.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0]"
18,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0, 4.0, 0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0, 2.0, 1.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 4.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 3.0, 1.0, 4.0, 4.0, 3.0, 3.0, 1.0, 3.0, 3.0, 2.0, 1.0, 4.0, 4.0, 3.0, 4.0, 4.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 3.0, 4.0, 1.0, 1.0, 4.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 3.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 2.0, 4.0, 1.0]"
19,"['1', '4', '1', '4', '1', '1', '4', '4', '4', '1', '4', '1']","['1', '1', '1', '1', '1', '1', '1', '4', '1', '4', '4', '1', '1', '1', '4', '4', '1', '4', '1', '1', '4', '1', '4', '4', '1', '1', '1', '4', '1', '1', '1', '1', '4', '1', '1', '1', '4', '1', '4']","[0, '4', '1', '1', '1', '1', '4', '1', '1', '1', '4', '3', '4', '2', '1', '1', '3', '4', '2', '1', '3', '1', '2', '4', '3', '4', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '1', '1', '1', '4', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1']","['1', '1', '4', '1', '1', '1', '1', '4', '1', '1', '1', '4', '1', '1', '4', '1', '1', '3', '3', '1', '1', '3', '1', '1', '3', '1', '4', '1', '1', '1', '1', '2', '1', '4', '2', '4', '2', '1', '1', '3']"
20,"[1.0, 4.0, 1.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0]","[0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 3.0, 2.0, 1.0, 3.0, 1.0, 2.0, 4.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0]"
